site,titulo,link,data_coleta,endereco,atributos,descricao,bairro,cidade,aluguel,condominio,seguro_incendio,iptu,area,quartos,suites,banheiros,vagas_garagem,mobiliado,piscina,academia,sacada,churrasqueira,salao_de_festas
Apolar,"Apartamento Residencial para Locação no Água Verde em Curitiba, 203 m²",https://www.apolar.com.br/alugar/curitiba/agua-verde/alugar-residencial-apartamento-curitiba-agua-verde-106289,2024-02-19,"Avenida Silva Jardim, 2733, Água Verde - Curitiba",203 m²,Apartamento com  no Bairro Água Verde Imóvel com gestão exclusiva Apolar0 CRECI: J-04232,Água Verde, Curitiba,20000.0,,62.56,,203.0,,,,,Não,Não,Não,Não,Não,Não
Apolar,"Apartamento Residencial para Locação no Cristo Rei em Curitiba, 250 m²",https://www.apolar.com.br/alugar/curitiba/cristo-rei/alugar-residencial-apartamento-curitiba-cristo-rei-100361,2024-02-19,"Rua Urbano Lopes, 238, Cristo Rei - Curitiba","250 m², 1 banheiro, 3 vagas, 3 quartos, 1 suite, , , , , , , , , ,  , pet","Apartamento com 3 quartos no Bairro Cristo Rei Imóvel com gestão exclusiva ApolarCaracterísticas:Apartamento totalmente mobiliado, mobília moderna de muito bom gosto, ótima localização próximo ao Jardim Botânico com área de 250 m², contendo:Sala de estar para dois ambientes star e jantar com teto rebaixado em gesso, sofá, mesa de jantar, cortinas, ar condicionado, lustres.Sala de tv.Sacada com linda vista, churrasqueira.Cozinha completa de armários, geladeira, fogão embutido.Área de serviço.Banheiro social com box de vidro, armário e espelho.03 dormitórios sendo um suíte com hidromassagem.03 vagas de garagens.Vantagens:Próximo de Restaurantes, bares, mercados, escolas, bastante comércios, parque.Área comum:Salão de festas, salão de jogos, academia, playground, quadra poliesportiva.Proximidades:Parque Jardim BotânicoInformações Adicionais:Andar: 8Aptos por andar: Aquecimento: gásÁrea total: 250 m²Área privativa: 150 m²Edifício: Portal do BotânicoEntre Ruas: Nossa Sra. da Penha e Pres. Afonso CamargoGaragem: simRua silenciosa: nãoAceita PETS: de pequeno porte.Vista Livre: Sim CRECI: J-04232",Cristo Rei, Curitiba,12000.0,840.0,71.93,,250.0,3.0,1.0,1.0,3.0,Sim,Não,Sim,Sim,Sim,Sim
Apolar,"Apartamento Residencial para Locação no Ecoville em Curitiba, 330 m²",https://www.apolar.com.br/alugar/curitiba/ecoville/alugar-residencial-apartamento-curitiba-ecoville-81929,2024-02-19,"Rua Dep. Heitor Alencar Furtado, 3180, Ecoville - Curitiba","330 m², 2 vagas, 4 quartos","Apartamento com 4 quartos no Bairro Ecoville Imóvel com gestão exclusiva ApolarEXCELENTE APARTAMENTO COM 4 DORMITÓRIOS EM REGIÃO NOBRE NO BAIRRO ECOVILLE, CONTENDO:- SALA DE ESTAR AMPLA PARA 2 AMBIENTES- SALA DE JANTAR AMPLA- 4 DORMITÓRIOS, SENDO 2 SUÍTES E 2 DEMI-SUÍTES- LAVABO- BWC SOCIAL COM BOX EM VIDRO- BWC SUÍTE COM BOX EM VIDRO- COZINHA COM ARMÁRIOS PLANEJADOS- ÁREA DE SERVIÇO- GARAGENS INDIVIDUAIS COBERTAS PARA 2 VEÍCULOS -VAGA - 97/125 CRECI: J-04136",Ecoville, Curitiba,10500.0,1549.67,87.58,,330.0,4.0,,,2.0,Não,Não,Não,Não,Não,Não
Apolar,"Apartamento Residencial para Locação no Mercês em Curitiba, 163 m²",https://www.apolar.com.br/alugar/curitiba/merces/alugar-residencial-apartamento-curitiba-merces-106074,2024-02-19,"Avenida Cândido Hartmann, 330, Mercês - Curitiba","163 m², 2 banheiros, 2 vagas, 2 quartos, 1 suite, , , , , , , , , ,  , pet","Apartamento com 2 quartos no Bairro Mercês Imóvel com gestão exclusiva ApolarQue tal morar no Edificio Dsenho, um Edifício conceitual com muito Estilo e Design que conta e retrata a Historia de Curitiba,na região privilegiada do Bigorrilho, próximo ao Batel Soho. Com uma decoração impecável, contemporânea e atemporal, que traz um estilo de vida com praticidade e funcionalidade. Características:Apartamento dois dormitóriosendo um suite e outro adaptado para escritório, alto padrão localizado no Bairro Bigorrilho, imóvel se diferencia por sua beleza e excelentes condições para ali se morar. A região é bem estruturada de comércios e serviços, o que proporciona comodidade e conforto aos seus habitantes. Arquitetura e Design moderno.Contendo:Mobiliada (exceto TV) e pronta para morar, contendo dois quartos, sala com ampla para dois ambientes, cozinha e banheiros.Sala com sofá, painel para TV, luminarias;Dois banheiros ambos com armários, espelho com luz de LED e decoração de muito bom gosto;Cozinha com móveis planejados, churrasqueira, fogão, forno, geladeira, persianas com controle remoto, banquetas altas, luminárias e luz de LED dando um ar elegante aos ambientes; Copa com mesa, cadeiras e luminárias;Piso em parcelado e madeira, aquecimento a gás.Vantagens:Ótima localização. Região privilegiada bem servida de mercados, farmácias, bancos, colégios e outros comércios. Mobilidade urbana diferenciada interligando toda a cidade.Imóvel com muita luz natural, ensolarado e ventilado.Área Comum:Portaria;Hall de entrada;Academia;Salão de Festa;Brinquedoteca;Proximidades:Batel Soho, Terrazza 40.Informações Adicionais:Andar: 2°Área total: 163,97m²Área privativa: 128,42m²Elevador: simEdifício: Edifício DsenhoGaragem: sim CRECI: J-04232",Mercês, Curitiba,7500.0,1690.58,53.19,,163.0,2.0,1.0,2.0,2.0,Não,Não,Sim,Não,Sim,Não
Apolar,"Apartamento Residencial para Locação no Guabirotuba em Curitiba, 107 m²",https://www.apolar.com.br/alugar/curitiba/guabirotuba/alugar-residencial-apartamento-curitiba-guabirotuba-87802,2024-02-19,"Avenida Senador Salgado Filho, 1798, Guabirotuba - Curitiba","107 m², 4 banheiros, 2 vagas, 2 quartos","Apartamento com 2 quartos no Bairro Guabirotuba Imóvel com gestão exclusiva ApolarAPARTAMENTO COBERTURA EM EXCELENTE LOCALIZAÇÃO DO GUABIROTUBANo primeiro piso:- AMPLA SALA COM ESTANTE PLANEJADA, CONJUGADA COM A SACADA QUE POSSUI VIDROS EM TODA EXTENSÃO; - COZINHA COM MÓVEIS PLANEJADOS, COM GELADEIRA DUPLEX, COOKTOP, FORNO E MICROONDAS- LAVANDERIA COM MÁQUINA E TANQUE;- LAVABO; - SUÍTE COM ARMÁRIOS PLANEJADOS;- No segundo andar/ cobertura:- AMPLA ÁREA COM TETO DE VIDRO RETRÁTIL, ÁREA DE CHURRASQUEIRA,MOVEIS PLANEJADOS, PIA, COOKTOP, RACK PARA TV, AR CONDICIONADO;- LAVABO;- SUITE COM CLOSET,PAINEL PARA TV E ESTANTES PLANEJADAS;- BANHEIRO SOCIAL2 VAGAS DE GARAGEM CRECI: J-04136",Guabirotuba, Curitiba,5000.0,635.61,39.14,,107.0,2.0,,4.0,2.0,Não,Não,Não,Sim,Sim,Não
Apolar,"Apartamento Residencial para Locação no Bigorrilho em Curitiba, 118 m²",https://www.apolar.com.br/alugar/curitiba/bigorrilho/alugar-residencial-apartamento-curitiba-bigorrilho-106189,2024-02-19,"Alameda Júlia Da Costa, 2242, Bigorrilho - Curitiba","118 m², 2 banheiros, 1 vaga, 3 quartos, 1 suite","Apartamento com 3 quartos no Bairro Bigorrilho Imóvel com gestão exclusiva ApolarCaracterísticas:Apartamento de três dormitórios, sendo uma suíte, situado em uma localização privilegiada, oferecendo o equilíbrio perfeito entre comodidade e conforto. Localizado em uma área residencial tranquila, o edifício proporciona fácil acesso a diversas comodidades, como escolas, supermercados, restaurantes e parques.A cozinha é moderna, oferecendo espaço suficiente para preparar refeições deliciosas. Armários elegantes e uma bancada generosa proporcionam uma experiência culinária agradável.Os três quartos são bem dimensionados . Cada quarto oferece um refúgio tranquilo para descanso, com armários embutidos que proporcionam amplo espaço de armazenamento.Ambientes com ar condicionado.Sala com sacada e churrasqueira.Em resumo, este apartamento de três dormitórios bem localizado oferece uma combinação ideal de estilo de vida urbano, conforto e conveniência. Ideal para quem procura uma residência que atenda às demandas modernas de uma vida agitada, sem comprometer a qualidade e o bem-estar.Vantagens:Ótima localização.A região é bem servida de mercados, farmácias, bancos, colégios e outros comércios.Mobilidade urbana diferenciada, com ônibus parando próximointerligando a várias terminais.Além da excelente localização e do fácil acesso às principais vias dos Bairros Champagnat e Batel,Área Comum:PortariaSalão de festasProximidades:Parque BarigüiPraça da UcrâniaColégio Positivo das Mercês, Colégio Marista ParanaenseUniversidades (Positivo, Evangélica, Tuiuti, UTFPR-Ecoville)Agências BancáriasComércio e serviço (supermercados, academias, farmácias)Shopping Pátio Batel e ParkShopping BarigüiInformações Adicionais:Andar: 3°Aquecimento: gásÁrea total: 118,72m²Área privativa: 94,88m²Elevador: simEdifício: Estrelas do SulEntre Ruas: Martim Afonso / Rua Euclides da Cunha / Rua Marechal José Bernardino BormannGaragem: sim, uma vaga**OBS: SEM VALOR DE IPTU LANÇADO - AGUARDANDO COMPETÊNCIA DE 2024** CRECI: J-04232",Bigorrilho, Curitiba,4800.0,688.11,41.48,,118.0,3.0,1.0,2.0,1.0,Não,Não,Sim,Sim,Sim,Sim
Apolar,"Apartamento Residencial para Locação no Cristo Rei em Curitiba, 89 m²",https://www.apolar.com.br/alugar/curitiba/cristo-rei/alugar-residencial-apartamento-curitiba-cristo-rei-106222,2024-02-19,"Rua Schiller, 126, Cristo Rei - Curitiba","89 m², 2 banheiros, 1 vaga, 2 quartos, 1 suite","Apartamento com 2 quartos no Bairro Cristo Rei Imóvel com gestão exclusiva ApolarSe você procura um imóvel com design moderno, sofisticação e conforto, este apartamento é ideal para você. Localizado em uma das melhores regiões da cidade, próximo a comércios, serviços e transporte público, este apartamento possui 70 m² de área privativa, distribuídos em 2 dormitórios, sendo que um deles foi transformado em closet. A suíte é totalmente decorada com móveis planejados, painel para TV, cama box de casal com cabeceira, e banheiro com box de vidro, armário e espelho. O banheiro social também possui box de vidro, armário e espelho.A sala de estar e jantar é integrada à cozinha em conceito aberto, criando um ambiente espaçoso e aconchegante. A cozinha é equipada com armários planejados, bancada e passa prato de granito, cooktop, forno, exaustor, geladeira e micro-ondas. A sala possui sofá retrátil com três lugares, rack com painel, mesa de jantar com quatro lugares e ar-condicionado. A sacada é ampla e telada, oferecendo uma vista privilegiada da cidade. O apartamento conta ainda com aquecimento a gás e fechadura digital na porta de entrada Não perca esta oportunidade e agende já uma visita com a apolar imóveis!Vantagens:Excelente localização com toda infraestrutura de transportes, serviços, e área comercialÁrea comumSalão de Festas c/ churrasqueira, Salão de Festas, Salão Infantil, Sala de Ginastica, BicicletárioProximidadesMercado Municipal de Curitiba, RodoviáriaInformações adicionais:Área privativa: 70,46m² Área total: 89,21m² Elevador: simEdifício: Belizeandar: 11°Garagem: sim ****Será retirado a tv da sala e a máquina de lavar****VALOR DE IPTU NÃO LANÇADO, COMPETENCIA 2024 NÃO SAIU AINDA** CRECI: J-04232",Cristo Rei, Curitiba,4700.0,409.98,34.45,,89.0,2.0,1.0,2.0,1.0,Não,Não,Não,Sim,Sim,Sim
Apolar,"Apartamento Residencial para Locação no Bigorrilho em Curitiba, 103 m²",https://www.apolar.com.br/alugar/curitiba/bigorrilho/alugar-residencial-apartamento-curitiba-bigorrilho-106239,2024-02-19,"Rua Coronel Joaquim Ignácio Taborda Ribas, 864, Bigorrilho - Curitiba","103 m², 2 banheiros, 1 vaga, 3 quartos, 1 suite, , , , , , , , , ,  , pet","Apartamento com 3 quartos no Bairro Bigorrilho Imóvel com gestão exclusiva ApolarCaracterísticas:Este apartamento de alto padrão está localizado na Rua Coronel Joaquim Ignácio Taborda Ribas, 864, em um andar alto, proporcionando uma vista livre e deslumbrante. O imóvel possui acabamentos de alta qualidade, incluindo sanca rebaixada em gesso com iluminação em LED.A sala é ampla e bem iluminada, equipada com um rack, painel e uma mesa de estudo de canto com prateleiras. A cozinha, em conceito aberto, possui uma sacada e está equipada com uma mesa de jantar para 6 pessoas, bancada divisória e pia em quartzo claro, cooktop, depurador, forno embutido, filtro de água e armários planejados com fino acabamento.O apartamento possui três dormitórios. O primeiro é uma suíte com armários planejados, painel, mesa de cabeceira e cabeceira de cama. O segundo dormitório é menor e pode ser utilizado como escritório, também equipado com armário. O terceiro dormitório possui armários planejados, painel e uma cama box de casal.Os banheiros, tanto o social quanto o da suíte, possuem box de vidro, armário e espelho. A área de serviço é equipada com tanque e armários.Este imóvel é uma excelente opção para quem busca conforto, sofisticação e uma localização privilegiada. Entre em contato conosco para mais informações.Vantagens:Excelente localização com toda infraestrutura de transportes, serviços, e área comercialÁrea comumacademia, salão de festas, espaço gourmet, playgroung, quadra poliesportiva, portariaProximidadesSuper Muffato Gourmet - Champagnat, Faculdade Evangélica Mackenzie do Paraná, Parque Barigui Informações adicionais:Área privativa: 87,73m² Área total: 103,97m² Elevador: simEdifício: Flexcityandar: 11ºGaragem: 2 vagas paralelas**Valor de iptu 2024 ainda não disponível, será lançado assim que for disponibilizado** CRECI: J-04232",Bigorrilho, Curitiba,4400.0,915.67,39.14,,103.0,3.0,1.0,2.0,1.0,Não,Não,Sim,Sim,Não,Sim
Apolar,"Apartamento Residencial para Locação no Juvevê em Curitiba, 141 m²",https://www.apolar.com.br/alugar/curitiba/juveve/alugar-residencial-apartamento-curitiba-juveve-87744,2024-02-19,"Rua Alberto Bolliger, 345, Juvevê - Curitiba","141 m², 2 vagas, 3 quartos","Apartamento com 3 quartos no Bairro Juvevê Imóvel com gestão exclusiva ApolarLINDO APARTAMENTO COM 3 DORMITÓRIOS E 1 ESCRITÓRIO EM LOCALIZAÇÃO PRIVILEGIADA DO JUVEVE E VÁRIOS COMÉRCIOS.- AMPLA SALA COM LAVABO E ESTANTE, COM SAÍDA PARA SACADA;- 3 DORMITÓRIOS COM ARMÁRIOS PLANEJADOS, UM DELES COM CAMA DE VIUVO, RACK E CORTINA;- SUÍTE COM CAMA E ARMÁRIOS PLANEJADOS, BANHEIRO COM BANHEIRA DE HIDROMASSAGEM;- ESCRITÓRIO COM MÓVEIS PLANEJADOS E CADEIRA- BANHEIRO SOCIAL COM ARMÁRIO- COZINHA AMPLA COM MÓVEIS PLANEJADOS, MESA DE VIDRO COM 06 CADEIRAS, FOGÃO, COIFA E CHURRASQUEIRA;- ÁREA DE SERVIÇO COM MÓVEL PARA PASSAR ROUPA E VARAL E 1 BANHEIRO- CONDOMÍNIO OFERECE ÁREA DE LAZER COM:- SALÃO DE FESTAS- PLAYGROUND- PORTARIA ELETRÔNICAGARAGEM PARA 2 CARROS CRECI: J-04136",Juvevê, Curitiba,4200.0,1970.66,48.51,,141.0,3.0,,,2.0,Não,Não,Não,Sim,Sim,Sim
Apolar,"Apartamento Residencial para Locação no Portão em Curitiba, 90 m²",https://www.apolar.com.br/alugar/curitiba/portao/alugar-residencial-apartamento-curitiba-portao-106214,2024-02-19,"Avenida República Argentina, 2751, Portão - Curitiba","90 m², 1 banheiro, 1 vaga, 2 quartos","Apartamento com 2 quartos no Bairro Portão Imóvel com gestão exclusiva ApolarCaracterísticas:Lindo apartamento , com dois dormitórios, mobiliado e decorado com muito bom gosto.Imóvel localizado em uma das melhores e mais valorizadas regiões de Curitiba .Apartamento amplo mobiliado com o que existe de melhor,para você viver com mais confortoViva com a comodidade de estar perto de diversas opções de serviços e mobilidade.Apartamento com dois dormitórios, sendo uma suíteSala para doisambientesSacadaCozinha Área de Serviço GaragemNão perca a oportunidade de transformar este maravilhoso apartamento em seu novo lar! Vantagens:Ótima localização, a região é bem servida demercados, academias, farmácias, bancos, colégios , shoppings e outros comércios. Mobilidade urbana diferenciada com transporte coletivo interligando aos principais terminais de Curitiba.Área Comum:Portaria 24h para segurança e tranquilidade.Hall social elegante.Elevadores para maior comodidade.SPA e sauna para relaxamento total.Espaço zen para momentos de contemplação.Espaço gourmet para encontros sociais.Salão de festas com churrasqueira.Academia bem equipada.Brinquedoteca para diversão das crianças.Playground para atividades ao ar livre.Quadra poliesportiva para prática esportiva.Sala de jogos para entretenimento.Lan house para trabalho ou lazer virtual.Monitoramento por câmeras para segurança adicional.Condomínio Autossustentável:O edifício Buenos Aires destaca-se por sua autossutentabilidade, incorporando práticas ambientais inovadoras:Geração de energia limpa através de painéis fotovoltaicos.Captação de água da chuva por meio de cisterna.Poço artesiano para garantir uma fonte segura de água.Proximidades:Terminal do Portão, Supermecado Angeloni, Shopping PalladiumInformações Adicionais:Andar: 16Aquecimento: gásÁrea total: 90,11Área privativa: 77,96Elevador: simEdifício: Resiencial Buenos AiresEntre Ruas:Eng. Niepce da Silva e . Arion Niepce da SilvaGaragem: sim**Não aceita Pet****VAGA DE GARAGEM N° 159****LOCAÇÃO SOMENTE COM SEGURO FIANÇA****VISITAS ACOMPANHADAS****VALOR DE IPTU NÃO LANÇADO, COMPETENCIA 2024 NÃO SAIU AINDA** CRECI: J-04232",Portão, Curitiba,4200.0,653.6,35.63,,90.0,2.0,,1.0,1.0,Sim,Não,Sim,Sim,Sim,Sim
