site,titulo,link,data_coleta,endereco,catacteristicas_imovel,detalhes_condominio,bairro,cidade,aluguel,condominio,seguro_incendio,iptu,area,quartos,suites,banheiros,vagas_garagem,mobiliado,piscina,academia,sacada,churrasqueira,salao_de_festas
Cilar,Apartamento no 15º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-15-andar-com-3-quartos-ecoville-curitiba/id/53934490/code/00171.001,2024-02-19,"Rua Professor Pedro Viriato Parigot Souza, 3065 - Ecoville - Curitiba","1ª LOCAÇÃO  Apartamento de alto padrão contendo: 3 suítes com box de blindex, bancada dos banheiros da suíte em mármore, com ar-condicionado; Sendo 1 suíte com sacada; 1 sala ampla para 2 ambientes com sacada, ar-condicionado; 1 lavabo; 1 cozinha com pia, 1 fogão e 1 geladeira duplex; 1 lavanderia; 1 dependência de empregada; 4 vagas de garagens sendo 1 vaga para 2 carros juntos e outras 2 vagas para carros separados individualmente com nº 1501.  Com vista 360º.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Piscina, Academia, Salão de festas, Playground, Elevador, Garagem Coberta",Ecoville,Curitiba,13000,3189.7,0,838.0,421,3,3,0,0,Não,Sim,Sim,Sim,Não,Sim
Cilar,Apartamento no 1º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-1-andar-com-3-quartos-cabral-curitiba/id/59890929/code/00224.001,2024-02-19,"Avenida Paraná, 111 - Cabral - Curitiba","Apartamento mobiliado contendo: 1 suíte com closet com armário; Banheiro da suíte com hidromassagem; Piso porcelanato; 1 suíte com armário; Banheiro com box blindex; 1 quarto com armário e calefação; 1 banheiro social com box blindex; 1 sala ampla para 2 ambientes com calefação e teto com sanca de gesso; Anexo churrasqueira com pia; 1 lavabo; 1 sala intima com piso em 2 níveis com lareira, sacada, piso de madeira e sanca de gesso; 1 cozinha com armário, pia com tampo granito, 1 balcão; 1 despensa; 1 departamento de empregada com armário; 2 vagas de garagens nº 5 e 6.    A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar. ","Elevador, Garagem Coberta",Cabral,Curitiba,12000,2348.64,0,782.96,403,3,2,1,0,Sim,Não,Não,Sim,Não,Não
Cilar,Apartamento no 1º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-1-andar-com-4-quartos-cabral-curitiba/id/58945659/code/07560.002,2024-02-19,"Rua Deputado Joaquim José Pedrosa, 618 - Cabral - Curitiba","3 salas com teto rebaixado sendo 1 com sacada com luminárias; 4 quartos sendo uma suíte com closet, armários em todos os quartos; Banheiro social e lavabo; Cozinha com armários e bancada, copa conjugada ; Área de serviço completa com dependência de serviço com armários e despensa.  2 vagas de garagem, sendo possível deixar mais 2 veículos na vaga de visitantes.    Condomínio: Salão de festas; Salão de jogos; Churrasqueira coletiva; Depósito; Quadra de esportes; Quiosque; Aquecimento à gás; Aquecimento elétrico; Despensa; Playground; Bicicletário e Portaria 24h.    IMOVEL DISPONIVEL PARA VENDAS E LOCAÇÃO.    A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Salão de festas, Playground, Quadra de esportes, Elevador, Portaria 24h, Garagem Coberta",Cabral,Curitiba,5000,1926.04,0,404.97,316,4,1,1,0,Não,Não,Não,Sim,Não,Sim
Cilar,Apartamento no 11º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-11-andar-com-4-quartos-batel-curitiba/id/56347603/code/00196.001,2024-02-19,"Avenida Sete de Setembro, 4699 - Batel - Curitiba","1 sala para 2 ambientes; 1 sala de jantar; 1 lavabo; 4 quartos sendo 3 quartos com armários e 1 suíte com closet com armário; 1 cozinha com armário, pia com tampo granito e canto alemão; 1 lavanderia com armário; 1 dispensa com armário; 1 banheiro de serviço; Vaga de garagem dupla para 2 veículos.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Academia, Salão de festas, Churrasqueira, Quadra de esportes, Elevador, Garagem Coberta",Batel,Curitiba,4000,1350.0,0,428.0,227,4,1,1,0,Não,Não,Sim,Não,Sim,Sim
Cilar,Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-portao-curitiba/id/53983782/code/00176.001,2024-02-19,"Avenida República Argentina, 1690 - Portão - Curitiba","1 cozinha com armário, pia tampo granito, 1 mesa embutida de granito, 1 geladeira, 1 fogão, 1 micro-ondas e 1 balcão; 1 despensa com prateleira; 1 lavanderia com 1 secadora de roupas marca brastemp; 1 sala com mesa de jantar com 8 cadeiras e 1 balcão; 1 sala intima com sofá; 1 quarto com armário e cama box; 1 suíte com banheiro com box blindex e hidromassagem; 1 quarto com armário; 1 banheiro social com box blindex; Piso laminado; Sanca de gesso na sala; 1 vaga de garagem.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.",Garagem Coberta,Portão,Curitiba,3900,804.6,0,158.0,169,3,1,1,0,Não,Não,Não,Não,Não,Não
Cilar,Apartamento com 1 quarto,https://cilar.com.br/alugar/apartamento-com-1-quarto-batel-curitiba/id/62623437/code/00232.001,2024-02-19,"Avenida do Batel, 1162 - Batel - Curitiba","1 quarto conjugado com sala com casa de casal com 2 mesinhas de cabeceira fixa; 1 armário; 1 sofá; 2 cadeiras com apoio de braço; 1 mesinha lateral de apoio; 1 ar condicionado; 1 tv smart; Cozinha com bancada em mármore com pia em inox sobre armários, armário suspenso, 1 cooktop por indução 2 bocas, 1 frigobar, 1 micro-ondas; 1 Banheiro com pia tampo em mármore apoiada sobre armário suspenso e box blindex; Sacada com 2 cadeiras em metal e 1 mesinha em metal; Toda iluminação em led.  1 vaga de garagem;   Imediações: Localizado em bairro nobre; servido de banco, lojas, bares, restaurantes e shopping na região.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Elevador, Garagem Coberta",Batel,Curitiba,3000,1059.54,0,134.12,84,1,0,1,0,Não,Não,Não,Sim,Não,Não
Cilar,Apartamento no 12º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-12-andar-com-3-quartos-centro-civico-curitiba/id/63674940/code/05115.003,2024-02-19,"Rua Mateus Leme, 1480 - Centro Cívico - Curitiba","3 quartos sendo 1 suíte com armários; Sala para 2 ambientes; Banheiro social com box tipo blindex; Cozinha com armários; Área de serviço; 1 vaga de garagem nº 22.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Salão de festas, Portaria 24h, Garagem Coberta",Centro Cívico,Curitiba,2850,988.01,0,127.63,148,3,1,1,0,Não,Não,Não,Não,Não,Sim
Cilar,Apartamento no 2º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-2-andar-com-3-quartos-alto-da-xv-curitiba/id/63876906/code/00128.001,2024-02-19,"Rua Sete de Abril, 659 / Rua Vinte e Um de Abril,            - Alto da XV - Curitiba","Apartamento 3 quartos sendo 1 suíte; Closet; Sala intima; Sala de jantar; Sacada; Lavabo; Banheiro social com box; Cozinha com armários planejados; Dependência e banheiro de serviço; 2 vagas de garagem.   Entrada de veículos pela Rua Vinte e Um de Abril.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Salão de festas, Churrasqueira, Elevador, Hidromassagem, Garagem Coberta",Alto da XV,Curitiba,2800,764.77,0,246.61,212,3,1,1,0,Não,Não,Não,Sim,Sim,Sim
Cilar,Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-alto-da-xv-curitiba/id/62954663/code/07450.001,2024-02-19,"Rua Padre Germano Mayer, 1805 - Alto da XV - Curitiba","Apartamento de 03 quartos sendo 01 suíte, sala para 02 ambientes, banheiro com box, cozinha com armários, área de serviço, dependência de serviço. 01 vaga de garagem.    A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.",Garagem Coberta,Alto da XV,Curitiba,2750,310.0,0,58.75,0,3,1,1,1,Não,Não,Não,Não,Não,Não
Cilar,Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-ahu-curitiba/id/62123783/code/06904.001,2024-02-19,"Rua Eça de Queiroz, 1205 - Ahú - Curitiba","3 quartos(1 suíte), sala para 2 ambientes com piso em granito e sancas em gesso, lavabo, cozinha com armários e copa integrada, dependência de serviço com armários e vaga de garagem livre N° 136.   Condomínio com salão de festas, churrasqueira, playground e quadra poliesportiva.   Imediações: Próximo a Av. Anita Garibaldi (Justiça Federal).    A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.","Salão de festas, Playground, Elevador, Garagem Coberta",Ahú,Curitiba,2700,638.36,0,128.0,132,3,1,1,0,Não,Não,Não,Não,Não,Sim
