titulo,link,endereco,detalhes,aluguel,condominio,iptu,catacteristicas_imovel,detalhes_condominio,mais_detalhes_imovel
Apartamento no 15º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-15-andar-com-3-quartos-ecoville-curitiba/id/53934490/code/00171.001,"Rua Professor Pedro Viriato Parigot Souza, 3065 - Ecoville - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '421,62m2', 'Quartos', '3', 'Suítes', '3', 'Andar', '15']","AluguelR$ 13.000,00","Condominio  R$ 3.189,70","IPTU  R$ 838,00","1ª LOCAÇÃO  Apartamento de alto padrão contendo: 3 suítes com box de blindex, bancada dos banheiros da suíte em mármore, com ar-condicionado; Sendo 1 suíte com sacada; 1 sala ampla para 2 ambientes com sacada, ar-condicionado; 1 lavabo; 1 cozinha com pia, 1 fogão e 1 geladeira duplex; 1 lavanderia; 1 dependência de empregada; 4 vagas de garagens sendo 1 vaga para 2 carros juntos e outras 2 vagas para carros separados individualmente com nº 1501.  Com vista 360º.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Piscina, Academia, Salão de festas, Playground, Elevador, Garagem Coberta","Andar: 15, Ano de construção: 2021, Aptos por andar: 1, Área averbada: 421,62, Área de serviço: 1, Área privativa: 244.58, Área total: 421.62, BWC empregada: 1, Bonificação: 1.444,00, Conservação: Ótimo, Cozinhas: 1, Dep. Empregada: 1, Edifício: Edifício Blue Garnet, Elevadores: 2, Face do imóvel: Norte, Fitness: 1, IPTU: 838.00, Lavabos: 1, Núm de pavimentos: 24, Piscina: 1, Playground: 1, Quartos: 3, Sacadas: 2, Salão de festas: 1, Salas: 1, Suítes: 3, Tipo de garagem: Livre, Vagas de garagem: 4, Valor bruto: 14.444,00, Valor condomínio: 3189.70"
Apartamento no 1º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-1-andar-com-3-quartos-cabral-curitiba/id/59890929/code/00224.001,"Avenida Paraná, 111 - Cabral - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '403,08m2', 'Quartos', '3', 'Banheiros', '1', 'Suítes', '2', 'Andar', '1']","AluguelR$ 12.000,00","Condominio  R$ 2.348,64","IPTU  R$ 782,96","Apartamento mobiliado contendo: 1 suíte com closet com armário; Banheiro da suíte com hidromassagem; Piso porcelanato; 1 suíte com armário; Banheiro com box blindex; 1 quarto com armário e calefação; 1 banheiro social com box blindex; 1 sala ampla para 2 ambientes com calefação e teto com sanca de gesso; Anexo churrasqueira com pia; 1 lavabo; 1 sala intima com piso em 2 níveis com lareira, sacada, piso de madeira e sanca de gesso; 1 cozinha com armário, pia com tampo granito, 1 balcão; 1 despensa; 1 departamento de empregada com armário; 2 vagas de garagens nº 5 e 6.    A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar. ","Elevador, Garagem Coberta","Andar: 01, Ano de construção: 1999, Aptos por andar: 1, Área averbada: 403,08, Área de serviço: 1, Área privativa: 298.86, Área total: 403.08, BWC Social: 1, BWC empregada: 1, Bonificação: 1.333,00, Closet: 1, Conservação: Ótimo, Cozinhas: 1, Dep. Empregada: 1, Edifício: Edifício Luxembourg, Elevadores: 2, Face do imóvel: Leste, IPTU: 782.96, Lareira: 1, Lavabos: 1, Mobiliado: 1, Núm de pavimentos: 14, Quartos: 3, Sacadas: 1, Sala estar íntima: 1, Salas: 1, Suítes: 2, Tipo de piso: Porcelanato, Vagas de garagem: 2, Valor bruto: 13.333,00, Valor condomínio: 2348.64"
Apartamento no 1º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-1-andar-com-4-quartos-cabral-curitiba/id/58945659/code/07560.002,"Rua Deputado Joaquim José Pedrosa, 618 - Cabral - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '316,01m2', 'Quartos', '4', 'Banheiros', '1', 'Suítes', '1', 'Andar', '1']","AluguelR$ 5.000,00","Condominio  R$ 1.926,04","IPTU  R$ 404,97","3 salas com teto rebaixado sendo 1 com sacada com luminárias; 4 quartos sendo uma suíte com closet, armários em todos os quartos; Banheiro social e lavabo; Cozinha com armários e bancada, copa conjugada ; Área de serviço completa com dependência de serviço com armários e despensa.  2 vagas de garagem, sendo possível deixar mais 2 veículos na vaga de visitantes.    Condomínio: Salão de festas; Salão de jogos; Churrasqueira coletiva; Depósito; Quadra de esportes; Quiosque; Aquecimento à gás; Aquecimento elétrico; Despensa; Playground; Bicicletário e Portaria 24h.    IMOVEL DISPONIVEL PARA VENDAS E LOCAÇÃO.    A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Salão de festas, Playground, Quadra de esportes, Elevador, Portaria 24h, Garagem Coberta","Água: sim, Andar: 01, Ano de construção: 1979, Aptos por andar: 1, Aquecimento: sim, Aquecimento Elétrico: sim, Área averbada: 316,01, Área de serviço: 1, Área privativa: 228.23, Área total: 316.01, BWC Social: 1, Bicicletário: sim, Bonificação: 555,00, Cancha de esportes: 1, Central de gás: sim, Churrasqueiras: 1, Closet: 1, Condomínio fechado: sim, Conservação: Ótimo, Cozinhas: 1, Dep. Empregada: 1, Despensa: sim, Edifício: Edifício Village Suisse Lausanne, Elevadores: 2, Esgoto: sim, Esquadrias: Alumínio, Face do imóvel: Norte, IPTU: 404.97, Lavabos: 1, Local garagem: Subsolo, Luz: sim, Núm de pavimentos: 17, Pavimentação: Asfalto, Placa no local: sim, Playground: 1, Portaria 24h: 1, Posição do imóvel: Frente, Quartos: 4, Revestimento externo: Pintura, Sacadas: 1, Salão de festas: 1, Salão de jogos: 1, Salas: 3, Suítes: 1, Telefone: sim, Tipo de garagem: Livre, Tipo de piso: Parquet, Vagas de garagem: 2, Valor bruto: 5.555,00, Valor condomínio: 1926.04"
Apartamento no 11º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-11-andar-com-4-quartos-batel-curitiba/id/56347603/code/00196.001,"Avenida Sete de Setembro, 4699 - Batel - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '227,00m2', 'Quartos', '4', 'Banheiros', '1', 'Suítes', '1', 'Andar', '11']","AluguelR$ 4.000,00","Condominio  R$ 1.350,00","IPTU  R$ 428,00","1 sala para 2 ambientes; 1 sala de jantar; 1 lavabo; 4 quartos sendo 3 quartos com armários e 1 suíte com closet com armário; 1 cozinha com armário, pia com tampo granito e canto alemão; 1 lavanderia com armário; 1 dispensa com armário; 1 banheiro de serviço; Vaga de garagem dupla para 2 veículos.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Academia, Salão de festas, Churrasqueira, Quadra de esportes, Elevador, Garagem Coberta","Andar: 11, Ano de construção: 1989, Aptos por andar: 2, Área de serviço: 1, Área privativa: 181.94, Área total: 227.00, BWC Social: 1, BWC empregada: 1, Bonificação: 444,00, Cancha de esportes: 1, Churrasqueira coletiva: 1, Closet: 1, Conservação: Ótimo, Cozinhas: 1, Edifício: Edifício Giusepe Todeschini, Elevadores: 2, Face do imóvel: Norte, Fitness: 1, IPTU: 428.00, Lavabos: 1, Núm de pavimentos: 23, Quartos: 4, Sala de jantar: 1, Salão de festas: 1, Salão de jogos: 1, Salas: 1, Suítes: 1, Vagas de garagem: 2, Valor bruto: 4.444,00, Valor condomínio: 1350.00"
Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-portao-curitiba/id/53983782/code/00176.001,"Avenida República Argentina, 1690 - Portão - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '169,62m2', 'Quartos', '3', 'Banheiros', '1', 'Suítes', '1']","AluguelR$ 3.900,00","Condominio  R$ 804,60","IPTU  R$ 158,00","1 cozinha com armário, pia tampo granito, 1 mesa embutida de granito, 1 geladeira, 1 fogão, 1 micro-ondas e 1 balcão; 1 despensa com prateleira; 1 lavanderia com 1 secadora de roupas marca brastemp; 1 sala com mesa de jantar com 8 cadeiras e 1 balcão; 1 sala intima com sofá; 1 quarto com armário e cama box; 1 suíte com banheiro com box blindex e hidromassagem; 1 quarto com armário; 1 banheiro social com box blindex; Piso laminado; Sanca de gesso na sala; 1 vaga de garagem.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.",Garagem Coberta,"Ano de construção: 1986, Aptos por andar: 4, Área de serviço: 1, Área privativa: 111.02, Área total: 169.62, BWC Social: 1, Bonificação: 433,00, Conservação: Bom, Cozinhas: 1, Edifício: Edifício Cidade Canção, Face do imóvel: Leste, IPTU: 158.00, Lavabos: 1, Núm de pavimentos: 11, Quartos: 3, Sala de jantar: 1, Sala estar íntima: 1, Salão de jogos: 1, Suítes: 1, Tipo de garagem: Livre, Tipo de piso: Laminado, Vagas de garagem: 1, Valor bruto: 4.333,00, Valor condomínio: 804.60"
Apartamento com 1 quarto,https://cilar.com.br/alugar/apartamento-com-1-quarto-batel-curitiba/id/62623437/code/00232.001,"Avenida do Batel, 1162 - Batel - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '84,16m2', 'Quartos', '1', 'Banheiros', '1']","AluguelR$ 3.000,00","Condominio  R$ 1.059,54","IPTU  R$ 134,12","1 quarto conjugado com sala com casa de casal com 2 mesinhas de cabeceira fixa; 1 armário; 1 sofá; 2 cadeiras com apoio de braço; 1 mesinha lateral de apoio; 1 ar condicionado; 1 tv smart; Cozinha com bancada em mármore com pia em inox sobre armários, armário suspenso, 1 cooktop por indução 2 bocas, 1 frigobar, 1 micro-ondas; 1 Banheiro com pia tampo em mármore apoiada sobre armário suspenso e box blindex; Sacada com 2 cadeiras em metal e 1 mesinha em metal; Toda iluminação em led.  1 vaga de garagem;   Imediações: Localizado em bairro nobre; servido de banco, lojas, bares, restaurantes e shopping na região.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Elevador, Garagem Coberta","Ano de construção: 1992, Aptos por andar: 16, Área privativa: 33.22, Área total: 84.16, BWC Social: 1, Bonificação: 333,00, Conservação: Ótimo, Cozinhas: 1, Edifício: Residencial Batel, Elevadores: 3, Face do imóvel: Leste, IPTU: 134.12, Núm de pavimentos: 5, Quartos: 1, Salas: 1, Tipo de garagem: Livre, Vagas de garagem: 1, Valor bruto: 3.333,00, Valor condomínio: 1059.54"
Apartamento no 12º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-12-andar-com-3-quartos-centro-civico-curitiba/id/63674940/code/05115.003,"Rua Mateus Leme, 1480 - Centro Cívico - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '148,82m2', 'Quartos', '3', 'Banheiros', '1', 'Suítes', '1', 'Andar', '12']","AluguelR$ 2.850,00","Condominio  R$ 988,01","IPTU  R$ 127,63","3 quartos sendo 1 suíte com armários; Sala para 2 ambientes; Banheiro social com box tipo blindex; Cozinha com armários; Área de serviço; 1 vaga de garagem nº 22.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Salão de festas, Portaria 24h, Garagem Coberta","Andar: 12, Área de serviço: 1, Área privativa: 114.30, Área total: 148.82, BWC Social: 1, Bonificação: 316,00, Cozinhas: 1, Edifício: Edifício Hawai, IPTU: 127.63, Interfone: sim, Portão eletrônico: sim, Portaria 24h: 1, Quartos: 3, Salão de festas: 1, Salas: 1, Suítes: 1, Tipo de garagem: Livre, Vagas de garagem: 1, Valor bruto: 3.166,00, Valor condomínio: 988.01"
Apartamento no 2º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-2-andar-com-3-quartos-alto-da-xv-curitiba/id/63876906/code/00128.001,"Rua Sete de Abril, 659 / Rua Vinte e Um de Abril,            - Alto da XV - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '212,49m2', 'Quartos', '3', 'Banheiros', '1', 'Suítes', '1', 'Andar', '2']","AluguelR$ 2.800,00","Condominio  R$ 764,77","IPTU  R$ 246,61","Apartamento 3 quartos sendo 1 suíte; Closet; Sala intima; Sala de jantar; Sacada; Lavabo; Banheiro social com box; Cozinha com armários planejados; Dependência e banheiro de serviço; 2 vagas de garagem.   Entrada de veículos pela Rua Vinte e Um de Abril.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Salão de festas, Churrasqueira, Elevador, Hidromassagem, Garagem Coberta","Alarme: sim, Andar: 02, Ano de construção: 1985, Aptos por andar: 1, Aquecimento: sim, Área averbada: 212,49, Área de serviço: 1, Área privativa: 102.77, Área total: 212.49, BWC Social: 1, BWC empregada: 1, Bonificação: 311,00, Central de gás: sim, Churrasqueira coletiva: 1, Closet: 1, Conservação: Bom, Cozinha com armários: 1, Cozinhas: 1, Dep. Empregada: 1, Depósito: sim, Dorms. com armários: sim, Edifício: Edifício Monet, Elevadores: 1, Esquadrias: Alumínio, Face do imóvel: Leste, Grades: sim, Hidro: 1, IPTU: 246.61, Interfone: sim, Lavabos: 1, Local garagem: Térreo, Núm de pavimentos: 4, Pavimentação: Asfalto, Portão eletrônico: sim, Quartos: 3, Revestimento externo: Pastilha/Pintura, Sacadas: 1, Sala de jantar: 1, Sala estar íntima: 1, Salão de festas: 1, Suítes: 1, Tipo de garagem: Livre, Tipo de piso: Laminado / Cerâmica, Vagas de garagem: 2, Valor bruto: 3.111,00, Valor condomínio: 764.77"
Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-alto-da-xv-curitiba/id/62954663/code/07450.001,"Rua Padre Germano Mayer, 1805 - Alto da XV - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '0,00m2', 'Quartos', '3', 'Banheiros', '1', 'Suítes', '1', 'Vagas', '1']","AluguelR$ 2.750,00","Condominio  R$ 310,00","IPTU  R$ 58,75","Apartamento de 03 quartos sendo 01 suíte, sala para 02 ambientes, banheiro com box, cozinha com armários, área de serviço, dependência de serviço. 01 vaga de garagem.    A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.",Garagem Coberta,"Área de serviço: 1, BWC Social: 1, Bonificação: 305,00, Cozinhas: 1, Dep. Empregada: 1, Edifício: TELLES, IPTU: 58.75, Núm de pavimentos: 2, Quartos: 3, Salas: 1, Suítes: 1, Tipo de piso: taco, Vagas de estacionamento: 1, Vagas de garagem: 1, Valor bruto: 3.055,00, Valor condomínio: 310.00"
Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-ahu-curitiba/id/62123783/code/06904.001,"Rua Eça de Queiroz, 1205 - Ahú - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '132,62m2', 'Quartos', '3', 'Banheiros', '1', 'Suítes', '1']","AluguelR$ 2.700,00","Condominio  R$ 638,36","IPTU  R$ 128,00","3 quartos(1 suíte), sala para 2 ambientes com piso em granito e sancas em gesso, lavabo, cozinha com armários e copa integrada, dependência de serviço com armários e vaga de garagem livre N° 136.   Condomínio com salão de festas, churrasqueira, playground e quadra poliesportiva.   Imediações: Próximo a Av. Anita Garibaldi (Justiça Federal).    A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.","Salão de festas, Playground, Elevador, Garagem Coberta","Ano de construção: 1989, Aptos por andar: 3, Área privativa: 85.29, Área total: 132.62, BWC Social: 1, Bonificação: 300,00, Copa: 1, Cozinhas: 1, Dep. Empregada: 1, Edifício: Edifício Ville Des Nobles, Elevadores: 1, Face do imóvel: Oeste, IPTU: 128.00, Interfone: sim, Lavabos: 1, Pavimentação: Asfalto, Playground: 1, Quartos: 3, Salão de festas: 1, Salas: 1, Seguro incêndio: 50,52, Suítes: 1, Vagas de garagem: 1, Valor bruto: 3.000,00, Valor condomínio: 638.36"
