link,titulo,endereco,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites, imobiliaria,data_coleta,imobiliaria
https://gonzagaimoveis.com.br/imovel/46113002/apartamento-4-quartos-umbara-curitiba/,Apartamento 4 Quartos Umbará 114m²,"Rua Luiz Nichele, 120, Umbará - Curitiba/Pr",Aluguel,"R$ 1.700,00","Condomínio R$ 0,00","IPTU R$ 81,12",4,2.0,114m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16605001/apartamento-2-quartos-spazzio-champ-ville-atuba-curitiba/,Apartamento 2 Quartos Atuba 50m²,"Rodovia Br-116, 2785, Atuba - Curitiba/Pr",Aluguel,"R$ 1.450,00","Condomínio R$ 450,81","IPTU R$ 59,30",2,2.0,50m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14215001/apartamento-2-quartos-alamanda-bacacheri-curitiba/,Apartamento 2 Quartos Bacacheri 55m²,"Rua Nicaragua, 1639, Bacacheri - Curitiba/Pr",Aluguel,"R$ 1.350,00","Condomínio R$ 350,00","IPTU R$ 56,63",2,1.0,55m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/92109005/apartamento-3-quartos-thomasz-2-bacacheri-curitiba/,Apartamento 3 Quartos Bacacheri 144m²,"Rua Mexico, 200, Bacacheri - Curitiba/Pr",Aluguel,"R$ 1.700,00","Condomínio R$ 400,00","IPTU R$ 128,73",3,2.0,144m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14345001/apartamento-2-quartos-spazio-champ-ville-bairro-alto-curitiba/,Apartamento 2 Quartos Bairro Alto 51m²,"Rodovia Br 116, 2785, Bairro Alto - Curitiba/Pr",Aluguel,"R$ 1.550,00","Condomínio R$ 450,00","IPTU R$ 46,57",2,1.0,51m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/25263001/apartamento-4-quartos-barreirinha-curitiba/,Apartamento 4 Quartos Barreirinha 115m²,"Rua Flavio Dallegrave, 7837, Barreirinha - Curitiba/Pr",Aluguel,"R$ 950,00","Condomínio R$ 0,00","IPTU R$ 59,67",4,1.0,115m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/22843001/apartamento-2-quartos-lemnos-boa-vista-curitiba/,Apartamento 2 Quartos Boa Vista 109m²,"Avenida Parana, 1758, Boa Vista - Curitiba/Pr",Aluguel,"R$ 1.500,00","Condomínio R$ 700,00","IPTU R$ 108,31",2,1.0,109m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16590001/apartamento-3-quartos-link-urban-habitat-boa-vista-curitiba/,Apartamento 3 Quartos Boa Vista 64m²,"Rua João Schleder Sobrinho, 322, Boa Vista - Curitiba/Pr",Aluguel,"R$ 2.590,00","Condomínio R$ 500,00","IPTU R$ 0,00",3,1.0,64m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/11925001/apartamento-2-quartos-piazza-maggiore-pilarzinho-curitiba/,Apartamento 2 Quartos Pilarzinho 69m²,"Avenida Fredolin Wolf, 799, Pilarzinho - Curitiba/Pr",Aluguel,"R$ 1.700,00","Condomínio R$ 600,00","IPTU R$ 97,06",2,1.0,69m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/13740001/apartamento-2-quartos-cedros-santa-candida-curitiba/,Apartamento 2 Quartos Santa Candida 47m²,"Rua Alberto Otto, 1316, Santa Candida - Curitiba/Pr",Aluguel,"R$ 800,00","Condomínio R$ 320,00","IPTU R$ 40,32",2,1.0,47m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12485001/apartamento-3-quartos-renascence-santa-candida-santa-candida-curitiba/,Apartamento 3 Quartos Santa Candida 69m²,"Rua Maximo Joao Kopp, 345, Santa Candida - Curitiba/Pr",Aluguel,"R$ 1.700,00","Condomínio R$ 450,00","IPTU R$ 58,35",3,2.0,69m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14790002/apartamento-2-quartos-village-parana-tingui-curitiba/,Apartamento 2 Quartos Tingui 50m²,"Rua Hilário Moro, 526, Tingui - Curitiba/Pr",Aluguel,"R$ 1.700,00","Condomínio R$ 400,00","IPTU R$ 47,38",2,1.0,50m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/21105006/apartamento-1-quarto-alto-boqueirao-curitiba/,Apartamento 1 Quarto Alto Boqueirao 25m²,"Rua Eduardo Pinto Da Rocha, 842, Alto Boqueirao - Curitiba/Pr",Aluguel,"R$ 750,00","Condomínio R$ 0,00","IPTU R$ 14,70",1,0.0,25m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/21105005/apartamento-1-quarto-alto-boqueirao-curitiba/,Apartamento 1 Quarto Alto Boqueirao 35m²,"Rua Eduardo Pinto Da Rocha, 842, Alto Boqueirao - Curitiba/Pr",Aluguel,"R$ 700,00","Condomínio R$ 0,00","IPTU R$ 14,70",1,0.0,35m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/13926001/apartamento-2-quartos-iapo-(residencial)-boqueirao-curitiba/,Apartamento 2 Quartos Boqueirao 57m²,"Rua Professora Maria De Assumpcao, 2241, Boqueirao - Curitiba/Pr",Aluguel,"R$ 1.200,00","Condomínio R$ 350,00","IPTU R$ 51,66",2,1.0,57m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/15665001/apartamento-1-quarto-anne-frank-hauer-curitiba/,Apartamento 1 Quarto Hauer 34m²,"Rua Anne Frank, 3126, Hauer - Curitiba/Pr",Aluguel,"R$ 900,00","Condomínio R$ 250,00","IPTU R$ 35,26",1,0.0,34m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/92172001/apartamento-3-quartos-vera-cruz-hauer-curitiba/,Apartamento 3 Quartos Hauer 86m²,"Rua Alcino Guanabara, 2100, Hauer - Curitiba/Pr",Aluguel,"R$ 1.600,00","Condomínio R$ 550,00","IPTU R$ 67,32",3,1.0,86m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/91428003/apartamento-1-quarto-residencial-jordania-–-xxxi-cajuru-curitiba/,Apartamento 1 Quarto Cajuru 27m²,"Rua Jordânia, 859, Cajuru - Curitiba/Pr",Aluguel,"R$ 880,00","Condomínio R$ 230,00","IPTU R$ 31,99",1,0.0,27m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/15271003/apartamento-3-quartos-guabirotuba-curitiba/,Apartamento 3 Quartos Guabirotuba 162m²,"Avenida Senador Salgado Filho, 961, Guabirotuba - Curitiba/Pr",Aluguel,"R$ 2.400,00","Condomínio R$ 100,00","IPTU R$ 166,20",3,1.0,162m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/09302001/apartamento-3-quartos-villa-real-(cj.-resid.)-uberaba-curitiba/,Apartamento 3 Quartos Uberaba 64m²,"Rua José Rietmeyer, 471, Uberaba - Curitiba/Pr",Aluguel,"R$ 1.480,00","Condomínio R$ 400,00","IPTU R$ 54,11",3,0.0,64m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/08281001/apartamento-2-quartos-aete-(cj.res.)-cidade-industrial-curitiba/,Apartamento 2 Quartos Cidade Industrial 46m²,"Rua Senador Accioly Filho, 622, Cidade Industrial - Curitiba/Pr",Aluguel,"R$ 750,00","Condomínio R$ 470,00","IPTU R$ 39,11",2,0.0,46m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/10424002/apartamento-2-quartos-posiville-iii-cidade-industrial-curitiba/,Apartamento 2 Quartos Cidade Industrial 52m²,"Rua Casemiro Augusto Rodacki, 341, Cidade Industrial - Curitiba/Pr",Aluguel,"R$ 1.650,00","Condomínio R$ 450,00","IPTU R$ 81,00",2,1.0,52m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16270001/apartamento-2-quartos-residencial-atenas-i-i-–-condominio-v-i-i-cidade-industrial-curitiba/,Apartamento 2 Quartos Cidade Industrial 45m²,"Rua Deputado Gabriel Sampaio, 465, Cidade Industrial - Curitiba/Pr",Aluguel,"R$ 900,00","Condomínio R$ 250,00","IPTU R$ 25,28",2,0.0,45m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/49095001/apartamento-3-quartos-itaguaçu-agua-verde-curitiba/,Apartamento 3 Quartos Agua Verde 80m²,"Rua Castro Alves, 594, Agua Verde - Curitiba/Pr",Aluguel,"R$ 2.000,00","Condomínio R$ 550,00","IPTU R$ 82,50",3,1.0,80m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/92087001/apartamento-2-quartos-zamoner-agua-verde-curitiba/,Apartamento 2 Quartos Agua Verde 77m²,"Rua Brigadeiro Franco, 2663, Agua Verde - Curitiba/Pr",Aluguel,"R$ 1.850,00","Condomínio R$ 422,79","IPTU R$ 69,90",2,1.0,77m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14999001/apartamento-2-quartos-anthurium-agua-verde-curitiba/,Apartamento 2 Quartos Agua Verde 61m²,"Rua Professor Luiz Cesar, 837, Agua Verde - Curitiba/Pr",Aluguel,"R$ 1.600,00","Condomínio R$ 720,00","IPTU R$ 77,20",2,1.0,61m²,0.0,,2023-11-05,gonzaga_imoveis
