imobiliaria,link,data_coleta,titulo,endereco,bairro,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/46113002/apartamento-4-quartos-umbara-curitiba/,2023-11-05,Apartamento 4 Quartos Umbará 114m²,"Rua Luiz Nichele, 120, Umbará - Curitiba/Pr",Umbará,Aluguel,1700,0,81,4,2,114m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16605001/apartamento-2-quartos-spazzio-champ-ville-atuba-curitiba/,2023-11-05,Apartamento 2 Quartos Atuba 50m²,"Rodovia Br-116, 2785, Atuba - Curitiba/Pr",Atuba,Aluguel,1450,450,59,2,2,50m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/14215001/apartamento-2-quartos-alamanda-bacacheri-curitiba/,2023-11-05,Apartamento 2 Quartos Bacacheri 55m²,"Rua Nicaragua, 1639, Bacacheri - Curitiba/Pr",Bacacheri,Aluguel,1350,350,56,2,1,55m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92109005/apartamento-3-quartos-thomasz-2-bacacheri-curitiba/,2023-11-05,Apartamento 3 Quartos Bacacheri 144m²,"Rua Mexico, 200, Bacacheri - Curitiba/Pr",Bacacheri,Aluguel,1700,400,128,3,2,144m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/14345001/apartamento-2-quartos-spazio-champ-ville-bairro-alto-curitiba/,2023-11-05,Apartamento 2 Quartos Bairro Alto 51m²,"Rodovia Br 116, 2785, Bairro Alto - Curitiba/Pr",Bairro Alto,Aluguel,1550,450,46,2,1,51m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/25263001/apartamento-4-quartos-barreirinha-curitiba/,2023-11-05,Apartamento 4 Quartos Barreirinha 115m²,"Rua Flavio Dallegrave, 7837, Barreirinha - Curitiba/Pr",Barreirinha,Aluguel,950,0,59,4,1,115m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/22843001/apartamento-2-quartos-lemnos-boa-vista-curitiba/,2023-11-05,Apartamento 2 Quartos Boa Vista 109m²,"Avenida Parana, 1758, Boa Vista - Curitiba/Pr",Boa Vista,Aluguel,1500,700,108,2,1,109m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16590001/apartamento-3-quartos-link-urban-habitat-boa-vista-curitiba/,2023-11-05,Apartamento 3 Quartos Boa Vista 64m²,"Rua João Schleder Sobrinho, 322, Boa Vista - Curitiba/Pr",Boa Vista,Aluguel,2590,500,0,3,1,64m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/11925001/apartamento-2-quartos-piazza-maggiore-pilarzinho-curitiba/,2023-11-05,Apartamento 2 Quartos Pilarzinho 69m²,"Avenida Fredolin Wolf, 799, Pilarzinho - Curitiba/Pr",Pilarzinho,Aluguel,1700,600,97,2,1,69m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/13740001/apartamento-2-quartos-cedros-santa-candida-curitiba/,2023-11-05,Apartamento 2 Quartos Santa Candida 47m²,"Rua Alberto Otto, 1316, Santa Candida - Curitiba/Pr",Santa Candida,Aluguel,800,320,40,2,1,47m²,0
