site,data_coleta,titulo,endereco,valores,atributos,descricao
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Água Verde em Curitiba, 203 m²
              ","
                Avenida Silva Jardim, 2733, Água Verde - Curitiba
                ","Aluguel R$ 20.000,00 Seguro Incêndio R$ 62,56Total R$ 20.062,56",203 m²,"
                          Apartamento com
                          
                          no Bairro Água Verde
                      Imóvel com gestão exclusiva Apolar0 CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Cristo Rei em Curitiba, 250 m²
              ","
                Rua Urbano Lopes, 238, Cristo Rei - Curitiba
                ","Aluguel R$ 12.000,00 Condomínio R$ 840,00 Seguro Incêndio R$ 71,93Total R$ 12.911,93","250 m², 1 banheiro, 3 vagas, 3 quartos, pet","
                          Apartamento com
                          3 quartos
                          no Bairro Cristo Rei
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Apartamento totalmente mobiliado, mobília moderna de muito bom gosto, ótima localização próximo ao Jardim Botânico com área de 250 m², contendo:Sala de estar para dois ambientes star e jantar com teto rebaixado em gesso, sofá, mesa de jantar, cortinas, ar condicionado, lustres.Sala de tv.Sacada com linda vista, churrasqueira.Cozinha completa de armários, geladeira, fogão embutido.Área de serviço.Banheiro social com box de vidro, armário e espelho.03 dormitórios sendo um suíte com hidromassagem.03 vagas de garagens.Vantagens:Próximo de Restaurantes, bares, mercados, escolas, bastante comércios, parque.Área comum:Salão de festas, salão de jogos, academia, playground, quadra poliesportiva.Proximidades:Parque Jardim BotânicoInformações Adicionais:Andar: 8Aptos por andar: Aquecimento: gásÁrea total: 250 m²Área privativa: 150 m²Edifício: Portal do BotânicoEntre Ruas: Nossa Sra. da Penha e Pres. Afonso CamargoGaragem: simRua silenciosa: nãoAceita PETS: de pequeno porte.Vista Livre: Sim CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Ecoville em Curitiba, 330 m²
              ","
                Rua Dep. Heitor Alencar Furtado, 3180, Ecoville - Curitiba
                ","Aluguel R$ 10.500,00 Condomínio R$ 1.549,67 Seguro Incêndio R$ 87,58Total R$ 12.137,25","330 m², 2 vagas, 4 quartos","
                          Apartamento com
                          4 quartos
                          no Bairro Ecoville
                      Imóvel com gestão exclusiva ApolarEXCELENTE APARTAMENTO COM 4 DORMITÓRIOS EM REGIÃO NOBRE NO BAIRRO ECOVILLE, CONTENDO:- SALA DE ESTAR AMPLA PARA 2 AMBIENTES- SALA DE JANTAR AMPLA- 4 DORMITÓRIOS, SENDO 2 SUÍTES E 2 DEMI-SUÍTES- LAVABO- BWC SOCIAL COM BOX EM VIDRO- BWC SUÍTE COM BOX EM VIDRO- COZINHA COM ARMÁRIOS PLANEJADOS- ÁREA DE SERVIÇO- GARAGENS INDIVIDUAIS COBERTAS PARA 2 VEÍCULOS -VAGA - 97/125 CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Mercês em Curitiba, 163 m²
              ","
                Avenida Cândido Hartmann, 330, Mercês - Curitiba
                ","Aluguel R$ 7.500,00 Condomínio R$ 1.690,58 Seguro Incêndio R$ 53,19Total R$ 9.243,77","163 m², 2 banheiros, 2 vagas, 2 quartos, pet","
                          Apartamento com
                          2 quartos
                          no Bairro Mercês
                      Imóvel com gestão exclusiva ApolarQue tal morar no Edificio Dsenho, um Edifício conceitual com muito Estilo e Design que conta e retrata a Historia de Curitiba,na região privilegiada do Bigorrilho, próximo ao Batel Soho. Com uma decoração impecável, contemporânea e atemporal, que traz um estilo de vida com praticidade e funcionalidade. Características:Apartamento dois dormitóriosendo um suite e outro adaptado para escritório, alto padrão localizado no Bairro Bigorrilho, imóvel se diferencia por sua beleza e excelentes condições para ali se morar. A região é bem estruturada de comércios e serviços, o que proporciona comodidade e conforto aos seus habitantes. Arquitetura e Design moderno.Contendo:Mobiliada (exceto TV) e pronta para morar, contendo dois quartos, sala com ampla para dois ambientes, cozinha e banheiros.Sala com sofá, painel para TV, luminarias;Dois banheiros ambos com armários, espelho com luz de LED e decoração de muito bom gosto;Cozinha com móveis planejados, churrasqueira, fogão, forno, geladeira, persianas com controle remoto, banquetas altas, luminárias e luz de LED dando um ar elegante aos ambientes; Copa com mesa, cadeiras e luminárias;Piso em parcelado e madeira, aquecimento a gás.Vantagens:Ótima localização. Região privilegiada bem servida de mercados, farmácias, bancos, colégios e outros comércios. Mobilidade urbana diferenciada interligando toda a cidade.Imóvel com muita luz natural, ensolarado e ventilado.Área Comum:Portaria;Hall de entrada;Academia;Salão de Festa;Brinquedoteca;Proximidades:Batel Soho, Terrazza 40.Informações Adicionais:Andar: 2°Área total: 163,97m²Área privativa: 128,42m²Elevador: simEdifício: Edifício DsenhoGaragem: sim CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Mossunguê em Curitiba, 196 m²
              ","
                Rua Francisco Juglair, 77, Mossunguê - Curitiba
                ","Aluguel R$ 6.750,00 Condomínio R$ 1.451,01 Seguro Incêndio R$ 60,22Total R$ 8.261,23","196 m², 2 banheiros, 2 vagas, 3 quartos, pet","
                          Apartamento com
                          3 quartos
                          no Bairro Mossunguê
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Ótimo apartamento, alto padrão em excelente localização.Apartamento contendo três dormitórios, sendo uma suíte com closet. Cabeceira estofada e painel para TV. Um quarto de solteiro com armários e uma cama de solteiro.Um banheiro social com box de vidro.1 lavaboCozinha com armários, ótimo acabamento, uma mesa de apoio feita de madeira maciça, com espaço para instalação de adega ou cervejeira. Área de serviço arejada, ampla com armários embutidos.Sala ampla com sacada e churrasqueira integrada.Sala para dois ambientes, TV e jantar.2 vagas Vantagens:Apartamento alto padrão, ótima localização. Condomínio clube com piscina com borda infinita, área gourmet, bosque de recreação, quadra poliesportiva, espaço kids, academia com ótimos aparelhos. Proximidades:Parque Barigui, Park Shopping Barigui, Teatro Positivo. Informações adicionais:Aquecimento: GásÁrea privativa: 137,47 m²Área total: 196,72 m²Entre Ruas: Monsenhor Ivo ZanlorenziGaragem: Sim CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Guabirotuba em Curitiba, 107 m²
              ","
                Avenida Senador Salgado Filho, 1798, Guabirotuba - Curitiba
                ","Aluguel R$ 5.000,00 Condomínio R$ 635,61 Seguro Incêndio R$ 39,14Total R$ 5.674,75","107 m², 4 banheiros, 2 vagas, 2 quartos","
                          Apartamento com
                          2 quartos
                          no Bairro Guabirotuba
                      Imóvel com gestão exclusiva ApolarAPARTAMENTO COBERTURA EM EXCELENTE LOCALIZAÇÃO DO GUABIROTUBA      No primeiro piso:- AMPLA SALA COM ESTANTE PLANEJADA, CONJUGADA COM A SACADA QUE POSSUI VIDROS EM TODA EXTENSÃO; - COZINHA COM MÓVEIS PLANEJADOS, COM GELADEIRA DUPLEX, COOKTOP, FORNO E MICROONDAS- LAVANDERIA COM MÁQUINA E TANQUE;- LAVABO; - SUÍTE COM ARMÁRIOS PLANEJADOS;- No segundo andar/ cobertura:- AMPLA ÁREA COM TETO DE VIDRO RETRÁTIL, ÁREA DE CHURRASQUEIRA,MOVEIS PLANEJADOS, PIA, COOKTOP, RACK PARA TV, AR CONDICIONADO;- LAVABO;- SUITE COM CLOSET,  PAINEL PARA TV E ESTANTES PLANEJADAS;- BANHEIRO SOCIAL2 VAGAS DE GARAGEM CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Bigorrilho em Curitiba, 118 m²
              ","
                Alameda Júlia Da Costa, 2242, Bigorrilho - Curitiba
                ","Aluguel R$ 4.800,00 Condomínio R$ 688,11 Seguro Incêndio R$ 41,48Total R$ 5.529,59","118 m², 2 banheiros, 1 vaga, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Bigorrilho
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Apartamento de três dormitórios, sendo uma suíte, situado em uma localização privilegiada, oferecendo o equilíbrio perfeito entre comodidade e conforto. Localizado em uma área residencial tranquila, o edifício proporciona fácil acesso a diversas comodidades, como escolas, supermercados, restaurantes e parques.A cozinha é moderna, oferecendo espaço suficiente para preparar refeições deliciosas. Armários elegantes e uma bancada generosa proporcionam uma experiência culinária agradável.Os três quartos são bem dimensionados . Cada quarto oferece um refúgio tranquilo para descanso, com armários embutidos que proporcionam amplo espaço de armazenamento.  Ambientes com ar condicionado.Sala com sacada e churrasqueira.Em resumo, este apartamento de três dormitórios bem localizado oferece uma combinação ideal de estilo de vida urbano, conforto e conveniência. Ideal para quem procura uma residência que atenda às demandas modernas de uma vida agitada, sem comprometer a qualidade e o bem-estar.Vantagens:Ótima localização.A região é bem servida de mercados, farmácias, bancos, colégios e outros comércios.Mobilidade urbana diferenciada, com ônibus parando próximo  interligando a várias terminais.Além da excelente localização e do fácil acesso às principais vias dos Bairros Champagnat e Batel,Área Comum:PortariaSalão de festasProximidades:Parque BarigüiPraça da UcrâniaColégio Positivo das Mercês, Colégio Marista ParanaenseUniversidades (Positivo, Evangélica, Tuiuti, UTFPR-Ecoville)Agências BancáriasComércio e serviço (supermercados, academias, farmácias)Shopping Pátio Batel e ParkShopping BarigüiInformações Adicionais:Andar: 3°Aquecimento: gásÁrea total: 118,72m²Área privativa: 94,88m²Elevador: simEdifício: Estrelas do SulEntre Ruas: Martim Afonso / Rua Euclides da Cunha / Rua Marechal José Bernardino BormannGaragem: sim, uma vaga**OBS: SEM VALOR DE IPTU LANÇADO - AGUARDANDO COMPETÊNCIA DE 2024** CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Cristo Rei em Curitiba, 89 m²
              ","
                Rua Schiller, 126, Cristo Rei - Curitiba
                ","Aluguel R$ 4.700,00 Condomínio R$ 409,98 Seguro Incêndio R$ 34,45Total R$ 5.144,43","89 m², 2 banheiros, 1 vaga, 2 quartos","
                          Apartamento com
                          2 quartos
                          no Bairro Cristo Rei
                      Imóvel com gestão exclusiva ApolarSe você procura um imóvel com design moderno, sofisticação e conforto, este apartamento é ideal para você. Localizado em uma das melhores regiões da cidade, próximo a comércios, serviços e transporte público, este apartamento possui 70 m² de área privativa, distribuídos em 2 dormitórios, sendo que um deles foi transformado em closet. A suíte é totalmente decorada com móveis planejados, painel para TV, cama box de casal com cabeceira, e banheiro com box de vidro, armário e espelho. O banheiro social também possui box de vidro, armário e espelho.A sala de estar e jantar é integrada à cozinha em conceito aberto, criando um ambiente espaçoso e aconchegante. A cozinha é equipada com armários planejados, bancada e passa prato de granito, cooktop, forno, exaustor, geladeira e micro-ondas. A sala possui sofá retrátil com três lugares, rack com painel, mesa de jantar com quatro lugares e ar-condicionado. A sacada é ampla e telada, oferecendo uma vista privilegiada da cidade. O apartamento conta ainda com aquecimento a gás e fechadura digital na porta de entrada Não perca esta oportunidade e agende já uma visita com a apolar imóveis!Vantagens:Excelente localização com toda infraestrutura de transportes, serviços, e área comercialÁrea comumSalão de Festas c/ churrasqueira, Salão de Festas, Salão Infantil, Sala de Ginastica, BicicletárioProximidadesMercado Municipal de Curitiba, RodoviáriaInformações adicionais:Área privativa: 70,46m² Área total: 89,21m² Elevador: simEdifício: Belizeandar: 11°Garagem: sim ****Será retirado a tv da sala e a máquina de lavar****VALOR DE IPTU NÃO LANÇADO, COMPETENCIA 2024 NÃO SAIU AINDA** CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Bigorrilho em Curitiba, 103 m²
              ","
                  Rua Coronel Joaquim Ignácio Taborda Ribas, 864, Bigorrilho - Curitiba
                ","Aluguel R$ 4.400,00 Condomínio R$ 915,67 Seguro Incêndio R$ 39,14Total R$ 5.354,81","103 m², 2 banheiros, 1 vaga, 3 quartos, pet","
                          Apartamento com
                          3 quartos
                          no Bairro Bigorrilho
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Este apartamento de alto padrão está localizado na Rua Coronel Joaquim Ignácio Taborda Ribas, 864, em um andar alto, proporcionando uma vista livre e deslumbrante. O imóvel possui acabamentos de alta qualidade, incluindo sanca rebaixada em gesso com iluminação em LED.A sala é ampla e bem iluminada, equipada com um rack, painel e uma mesa de estudo de canto com prateleiras. A cozinha, em conceito aberto, possui uma sacada e está equipada com uma mesa de jantar para 6 pessoas, bancada divisória e pia em quartzo claro, cooktop, depurador, forno embutido, filtro de água e armários planejados com fino acabamento.O apartamento possui três dormitórios. O primeiro é uma suíte com armários planejados, painel, mesa de cabeceira e cabeceira de cama. O segundo dormitório é menor e pode ser utilizado como escritório, também equipado com armário. O terceiro dormitório possui armários planejados, painel e uma cama box de casal.Os banheiros, tanto o social quanto o da suíte, possuem box de vidro, armário e espelho. A área de serviço é equipada com tanque e armários.Este imóvel é uma excelente opção para quem busca conforto, sofisticação e uma localização privilegiada. Entre em contato conosco para mais informações.Vantagens:Excelente localização com toda infraestrutura de transportes, serviços, e área comercialÁrea comumacademia, salão de festas, espaço gourmet, playgroung, quadra poliesportiva, portaria  ProximidadesSuper Muffato Gourmet - Champagnat, Faculdade Evangélica Mackenzie do Paraná, Parque Barigui Informações adicionais:Área privativa: 87,73m² Área total: 103,97m² Elevador: simEdifício: Flexcityandar: 11ºGaragem: 2 vagas paralelas**Valor de iptu 2024 ainda não disponível, será lançado assim que for disponibilizado** CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Juvevê em Curitiba, 141 m²
              ","
                Rua Alberto Bolliger, 345, Juvevê - Curitiba
                ","Aluguel R$ 4.200,00 Condomínio R$ 1.970,66 Seguro Incêndio R$ 48,51Total R$ 6.219,17","141 m², 2 vagas, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Juvevê
                      Imóvel com gestão exclusiva ApolarLINDO APARTAMENTO COM 3 DORMITÓRIOS E 1 ESCRITÓRIO EM LOCALIZAÇÃO PRIVILEGIADA DO JUVEVE E VÁRIOS COMÉRCIOS.- AMPLA SALA COM LAVABO E ESTANTE, COM SAÍDA PARA SACADA;- 3 DORMITÓRIOS COM ARMÁRIOS PLANEJADOS, UM DELES COM CAMA DE VIUVO, RACK E CORTINA;- SUÍTE COM CAMA E ARMÁRIOS PLANEJADOS, BANHEIRO COM BANHEIRA DE HIDROMASSAGEM;- ESCRITÓRIO COM MÓVEIS PLANEJADOS E CADEIRA- BANHEIRO SOCIAL COM ARMÁRIO- COZINHA AMPLA COM MÓVEIS PLANEJADOS, MESA DE VIDRO COM 06 CADEIRAS, FOGÃO, COIFA E CHURRASQUEIRA;- ÁREA DE SERVIÇO COM MÓVEL PARA PASSAR ROUPA E VARAL E 1 BANHEIRO- CONDOMÍNIO OFERECE ÁREA DE LAZER COM:- SALÃO DE FESTAS- PLAYGROUND- PORTARIA ELETRÔNICAGARAGEM PARA 2 CARROS CRECI: J-04136"
