imobiliaria,link,data_coleta,titulo,endereco,bairro,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites,data_entrada,data_saida,anuncio
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/49109001/apartamento-2-quartos-tijucas-centro-curitiba/,2023-11-05,Apartamento 2 Quartos Centro 42m²,"Avenida Luiz Xavier, 68, Centro - Curitiba/Pr",Centro,Aluguel,1300,450,29,2,0,42m²,0,2023-11-05,2023-11-05,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/04744003/apartamento-1-quarto-dallas-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 32m²,"Rua Da Paz, 460, Centro - Curitiba/Pr",Centro,Aluguel,980,340,44,1,1,32m²,1,2023-11-05,2023-11-05,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/11925001/apartamento-2-quartos-piazza-maggiore-pilarzinho-curitiba/,2023-11-06,Apartamento 2 Quartos Pilarzinho 69m²,"Avenida Fredolin Wolf, 799, Pilarzinho - Curitiba/Pr",Pilarzinho,Aluguel,1700,600,97,2,1,69m²,0,2023-11-05,2023-11-06,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/22843001/apartamento-2-quartos-lemnos-boa-vista-curitiba/,2023-11-07,Apartamento 2 Quartos Boa Vista 109m²,"Avenida Parana, 1758, Boa Vista - Curitiba/Pr",Boa Vista,Aluguel,1500,700,108,2,1,109m²,0,2023-11-05,2023-11-07,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/13926001/apartamento-2-quartos-iapo-(residencial)-boqueirao-curitiba/,2023-11-07,Apartamento 2 Quartos Boqueirao 57m²,"Rua Professora Maria De Assumpcao, 2241, Boqueirao - Curitiba/Pr",Boqueirao,Aluguel,1200,350,51,2,1,57m²,0,2023-11-05,2023-11-07,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92154003/apartamento-3-quartos-barigui-campo-comprido-curitiba/,2023-11-07,Apartamento 3 Quartos Campo Comprido 50m²,"Rua Luiz Ronaldo Canalli, 3294, Campo Comprido - Curitiba/Pr",Campo Comprido,Aluguel,850,420,25,3,1,50m²,0,2023-11-05,2023-11-07,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16607001/apartamento-2-quartos-residencial-canelli-novo-mundo-curitiba/,2023-11-07,Apartamento 2 Quartos Novo Mundo 42m²,"Rua Carolina Castelli, 694, Novo Mundo - Curitiba/Pr",Novo Mundo,Aluguel,1350,482,39,2,1,42m²,0,2023-11-05,2023-11-07,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/13319001/apartamento-2-quartos-allegro-pinheirinho-curitiba/,2023-11-07,Apartamento 2 Quartos Pinheirinho 48m²,"Rua Reinaldo Stocco, 274, Pinheirinho - Curitiba/Pr",Pinheirinho,Aluguel,1300,400,40,2,1,48m²,0,2023-11-05,2023-11-07,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92154003/apartamento-3-quartos-barigui-campo-comprido-curitiba/,2023-11-07,Apartamento 3 Quartos Campo Comprido 50m²,"Rua Luiz Ronaldo Canalli, 3294, Campo Comprido - Curitiba/Pr",Campo Comprido,Aluguel,850,420,25,3,1,50m²,0,2023-11-05,2023-11-07,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/11722002/apartamento-3-quartos-niepce-da-silva-portao-curitiba/,2023-11-08,Apartamento 3 Quartos Portao 78m²,"Rua Engenheiro Niepce Da Silva, 510, Portao - Curitiba/Pr",Portao,Aluguel,1500,550,56,3,1,78m²,0,2023-11-05,2023-11-08,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16556001/apartamento-2-quartos-portao-curitiba/,2023-11-08,Apartamento 2 Quartos Portão 49m²,"Rua Álvaro Andrade, 225, Portão - Curitiba/Pr",Portão,Aluguel,2490,523,96,2,1,49m²,0,2023-11-05,2023-11-08,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/49143001/apartamento-3-quartos-itarama-centro-curitiba/,2023-11-08,Apartamento 3 Quartos Centro 183m²,"Rua Desembargador Motta, 1574, Centro - Curitiba/Pr",Centro,Aluguel,1850,800,196,3,0,183m²,1,2023-11-08,2023-11-08,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16590001/apartamento-3-quartos-link-urban-habitat-boa-vista-curitiba/,2023-11-09,Apartamento 3 Quartos Boa Vista 64m²,"Rua João Schleder Sobrinho, 322, Boa Vista - Curitiba/Pr",Boa Vista,Aluguel,2590,500,0,3,1,64m²,1,2023-11-05,2023-11-09,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/09302001/apartamento-3-quartos-villa-real-(cj.-resid.)-uberaba-curitiba/,2023-11-09,Apartamento 3 Quartos Uberaba 64m²,"Rua José Rietmeyer, 471, Uberaba - Curitiba/Pr",Uberaba,Aluguel,1480,400,54,3,0,64m²,0,2023-11-05,2023-11-09,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/23604001/apartamento-3-quartos-iguaçu-v-portao-curitiba/,2023-11-09,Apartamento 3 Quartos Portao 40m²,"Rua Miguel Abrao, 610, Portao - Curitiba/Pr",Portao,Aluguel,1200,450,42,3,1,40m²,0,2023-11-05,2023-11-09,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/07544002/apartamento-3-quartos-residencial-cosmos-–-edificio-newton-alto-da-rua-xv-curitiba/,2023-11-09,Apartamento 3 Quartos Alto Da Rua Xv 110m²,"Rua Schiller, 555, Alto Da Rua Xv - Curitiba/Pr",Alto Da Rua Xv,Aluguel,1600,850,119,3,1,110m²,0,2023-11-05,2023-11-09,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/07169002/apartamento-1-quarto-studios-portinari-centro-curitiba/,2023-11-09,Apartamento 1 Quarto Centro 35m²,"Rua Lamenha Lins, 277, Centro - Curitiba/Pr",Centro,Aluguel,1200,400,49,1,0,35m²,0,2023-11-05,2023-11-09,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16591001/apartamento-2-quartos-cond.-jardim-botanico-jardim-botanico-curitiba/,2023-11-09,Apartamento 2 Quartos Jardim Botânico 67m²,"Rua Doutor Corrêa Coelho, 744, Jardim Botânico - Curitiba/Pr",Jardim Botânico,Aluguel,1890,580,64,2,1,67m²,0,2023-11-05,2023-11-09,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/25263001/apartamento-4-quartos-barreirinha-curitiba/,2023-11-12,Apartamento 4 Quartos Barreirinha 115m²,"Rua Flavio Dallegrave, 7837, Barreirinha - Curitiba/Pr",Barreirinha,Aluguel,950,0,59,4,1,115m²,0,2023-11-05,2023-11-12,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/13740001/apartamento-2-quartos-cedros-santa-candida-curitiba/,2023-11-12,Apartamento 2 Quartos Santa Candida 47m²,"Rua Alberto Otto, 1316, Santa Candida - Curitiba/Pr",Santa Candida,Aluguel,800,320,40,2,1,47m²,0,2023-11-05,2023-11-12,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92172001/apartamento-3-quartos-vera-cruz-hauer-curitiba/,2023-11-12,Apartamento 3 Quartos Hauer 86m²,"Rua Alcino Guanabara, 2100, Hauer - Curitiba/Pr",Hauer,Aluguel,1600,550,67,3,1,86m²,0,2023-11-05,2023-11-12,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/08281001/apartamento-2-quartos-aete-(cj.res.)-cidade-industrial-curitiba/,2023-11-12,Apartamento 2 Quartos Cidade Industrial 46m²,"Rua Senador Accioly Filho, 622, Cidade Industrial - Curitiba/Pr",Cidade Industrial,Aluguel,750,470,39,2,0,46m²,0,2023-11-05,2023-11-12,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/02029002/apartamento-3-quartos-mont-blanc-residence-agua-verde-curitiba/,2023-11-12,Apartamento 3 Quartos Agua Verde 105m²,"Avenida Presidente Getulio Vargas, 3084, Agua Verde - Curitiba/Pr",Agua Verde,Aluguel,3200,1000,150,3,1,105m²,1,2023-11-05,2023-11-12,Inativo
